text,label
"Donald Trump says vaccines cause autism, despite scientific consensus.",FAKE
NASA announces successful landing of rover on Mars.,REAL
New study shows that drinking bleach can cure COVID-19.,FAKE
India launches its largest solar power project.,REAL
5G networks are responsible for spreading coronavirus.,FAKE
Scientists discover new species of dinosaur in Argentina.,REAL
"Aliens have been secretly living among us, claims anonymous source.",FAKE
World Health Organization declares end of global pandemic.,REAL
Bill Gates is microchipping people through vaccines.,FAKE
Apple releases new iPhone model with breakthrough AI features.,REAL
